Category,Question,Option A,Option B,Option C,Option D,Answer
Analytical Skills,"If a car travels at 60 km/hr for 3 hours, how far does it travel?",120 km,100 km,200 km,180 km,D
Analytical Skills,Which of the following is not a prime number?,2,3,5,9,D
Analytical Skills,"If a car travels at 60 km/hr for 3 hours, how far does it travel?",120 km,100 km,200 km,180 km,D
Analytical Skills,"If a car travels at 60 km/hr for 3 hours, how far does it travel?",120 km,100 km,200 km,180 km,D
Analytical Skills,What is the sum of angles in a triangle?,90 degrees,180 degrees,360 degrees,270 degrees,B
Analytical Skills,"If a car travels at 60 km/hr for 3 hours, how far does it travel?",120 km,100 km,200 km,180 km,D
Analytical Skills,"If 3x + 5 = 20, what is the value of x?",5,10,3,15,A
Analytical Skills,Which of the following is not a prime number?,2,3,5,9,D
Analytical Skills,"What is the next number in the series 2, 4, 8, 16, ?",10,12,32,64,C
Analytical Skills,Which of the following is not a prime number?,2,3,5,9,D
Analytical Skills,Which of the following is not a prime number?,2,3,5,9,D
Analytical Skills,"What is the next number in the series 2, 4, 8, 16, ?",10,12,32,64,C
Analytical Skills,What is the sum of angles in a triangle?,90 degrees,180 degrees,360 degrees,270 degrees,B
Analytical Skills,What is the sum of angles in a triangle?,90 degrees,180 degrees,360 degrees,270 degrees,B
Analytical Skills,"What is the next number in the series 2, 4, 8, 16, ?",10,12,32,64,C
Analytical Skills,What is the sum of angles in a triangle?,90 degrees,180 degrees,360 degrees,270 degrees,B
Analytical Skills,"If 3x + 5 = 20, what is the value of x?",5,10,3,15,A
Analytical Skills,What is the sum of angles in a triangle?,90 degrees,180 degrees,360 degrees,270 degrees,B
Analytical Skills,What is the sum of angles in a triangle?,90 degrees,180 degrees,360 degrees,270 degrees,B
Analytical Skills,"What is the next number in the series 2, 4, 8, 16, ?",10,12,32,64,C
Analytical Skills,What is the sum of angles in a triangle?,90 degrees,180 degrees,360 degrees,270 degrees,B
Analytical Skills,What is the sum of angles in a triangle?,90 degrees,180 degrees,360 degrees,270 degrees,B
Analytical Skills,"If 3x + 5 = 20, what is the value of x?",5,10,3,15,A
Analytical Skills,"What is the next number in the series 2, 4, 8, 16, ?",10,12,32,64,C
Analytical Skills,"If 3x + 5 = 20, what is the value of x?",5,10,3,15,A
Analytical Skills,What is the sum of angles in a triangle?,90 degrees,180 degrees,360 degrees,270 degrees,B
Analytical Skills,"What is the next number in the series 2, 4, 8, 16, ?",10,12,32,64,C
Analytical Skills,"What is the next number in the series 2, 4, 8, 16, ?",10,12,32,64,C
Analytical Skills,Which of the following is not a prime number?,2,3,5,9,D
Analytical Skills,Which of the following is not a prime number?,2,3,5,9,D
Analytical Skills,"If a car travels at 60 km/hr for 3 hours, how far does it travel?",120 km,100 km,200 km,180 km,D
Analytical Skills,"If a car travels at 60 km/hr for 3 hours, how far does it travel?",120 km,100 km,200 km,180 km,D
Analytical Skills,What is the sum of angles in a triangle?,90 degrees,180 degrees,360 degrees,270 degrees,B
Analytical Skills,Which of the following is not a prime number?,2,3,5,9,D
Analytical Skills,Which of the following is not a prime number?,2,3,5,9,D
Analytical Skills,"What is the next number in the series 2, 4, 8, 16, ?",10,12,32,64,C
Analytical Skills,"If a car travels at 60 km/hr for 3 hours, how far does it travel?",120 km,100 km,200 km,180 km,D
Analytical Skills,"If 3x + 5 = 20, what is the value of x?",5,10,3,15,A
Analytical Skills,"If a car travels at 60 km/hr for 3 hours, how far does it travel?",120 km,100 km,200 km,180 km,D
Analytical Skills,"If 3x + 5 = 20, what is the value of x?",5,10,3,15,A
Analytical Skills,"What is the next number in the series 2, 4, 8, 16, ?",10,12,32,64,C
Analytical Skills,What is the sum of angles in a triangle?,90 degrees,180 degrees,360 degrees,270 degrees,B
Analytical Skills,"If a car travels at 60 km/hr for 3 hours, how far does it travel?",120 km,100 km,200 km,180 km,D
Analytical Skills,Which of the following is not a prime number?,2,3,5,9,D
Analytical Skills,"What is the next number in the series 2, 4, 8, 16, ?",10,12,32,64,C
Analytical Skills,"If a car travels at 60 km/hr for 3 hours, how far does it travel?",120 km,100 km,200 km,180 km,D
Analytical Skills,"If 3x + 5 = 20, what is the value of x?",5,10,3,15,A
Analytical Skills,"If 3x + 5 = 20, what is the value of x?",5,10,3,15,A
Analytical Skills,What is the sum of angles in a triangle?,90 degrees,180 degrees,360 degrees,270 degrees,B
Analytical Skills,"What is the next number in the series 2, 4, 8, 16, ?",10,12,32,64,C
Verbal Reasoning,Which word is the antonym of 'expensive'?,Cheap,Wealthy,Heavy,Affordable,D
Verbal Reasoning,Identify the synonym of 'happy'.,Sad,Angry,Joyful,Depressed,C
Verbal Reasoning,What does the word 'omniscient' mean?,All-knowing,All-seeing,All-powerful,All-hearing,A
Verbal Reasoning,Choose the word that is opposite in meaning to 'abundant'.,Sufficient,Scarce,Large,Copious,B
Verbal Reasoning,Choose the word that best completes the sentence: 'He has a _______ mind.',brilliant,dull,regular,small,A
Verbal Reasoning,Which word is the antonym of 'expensive'?,Cheap,Wealthy,Heavy,Affordable,D
Verbal Reasoning,What does the word 'omniscient' mean?,All-knowing,All-seeing,All-powerful,All-hearing,A
Verbal Reasoning,Identify the synonym of 'happy'.,Sad,Angry,Joyful,Depressed,C
Verbal Reasoning,What does the word 'omniscient' mean?,All-knowing,All-seeing,All-powerful,All-hearing,A
Verbal Reasoning,Which word is the antonym of 'expensive'?,Cheap,Wealthy,Heavy,Affordable,D
Verbal Reasoning,What does the word 'omniscient' mean?,All-knowing,All-seeing,All-powerful,All-hearing,A
Verbal Reasoning,What does the word 'omniscient' mean?,All-knowing,All-seeing,All-powerful,All-hearing,A
Verbal Reasoning,Choose the word that is opposite in meaning to 'abundant'.,Sufficient,Scarce,Large,Copious,B
Verbal Reasoning,What does the word 'omniscient' mean?,All-knowing,All-seeing,All-powerful,All-hearing,A
Verbal Reasoning,Choose the word that best completes the sentence: 'He has a _______ mind.',brilliant,dull,regular,small,A
Verbal Reasoning,Which word is the antonym of 'expensive'?,Cheap,Wealthy,Heavy,Affordable,D
Verbal Reasoning,Choose the word that best completes the sentence: 'He has a _______ mind.',brilliant,dull,regular,small,A
Verbal Reasoning,What does the word 'omniscient' mean?,All-knowing,All-seeing,All-powerful,All-hearing,A
Verbal Reasoning,Identify the synonym of 'happy'.,Sad,Angry,Joyful,Depressed,C
